User	Followers	Following	Verified	Biography
loreleitaron	1111635	1254	True	🏡 Donde estén ellos @falcao 👧🏼👧🏼👧🏼👶🏼👩🏼‍💻 Agencia @onthegogroup 💫Mi Blog 👇📄www.loreleitaron.com
swmexclusive	113029	7469	True	𝐓𝐡𝐞 𝐨𝐟𝐟𝐢𝐜𝐢𝐚𝐥 𝐈𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦 𝐚𝐜𝐜𝐨𝐮𝐧𝐭 𝐨𝐟 𝐒𝐖𝐌 𝔄𝔱𝔥𝔩𝔢𝔱𝔢 𝐦𝐞𝐝𝐢𝐚, 𝔩𝔲𝔵𝔲𝔯𝔶 𝐦𝐚𝐠𝐚𝐳𝐢𝐧𝐞, 𝔟𝔯𝔞𝔫𝔡 𝐦𝐚𝐫𝐤𝐞𝐭𝐢𝐧𝐠 𝐚𝐧𝐝 𝐠𝐥𝐨𝐛𝐚𝐥 𝔩𝔦𝔣𝔢𝔰𝔱𝔶𝔩𝔢 𝐦𝐚𝐧𝐚𝐠𝐞𝐦𝐞𝐧𝐭.@swm.vip 𝐟𝐨𝐫 𝐚𝐥𝐥 𝐕𝐈𝐏 𝐜𝐥𝐢𝐞𝐧𝐭𝐬
casemiro	17624938	676	True	CEO @caseesports 🎮Facebook: Facebook.com/Casemiro92
helisuarez	1224	814	False	Mis amigos me llaman Heli🐣🍷🐾 Barolo
mel.canizares	7235	594	False	Mamá de Leo y Lucas |👦🏻👶🏼♥️ @joselumato Madrid 🇪🇸  Barcelona 📍
edermilitao	4005607	921	True	Brasileiro 🇧🇷/ 📍Real Madrid 🇪🇸
dani.carvajal.2	7354062	420	True	Cuenta oficial.Jugador del @realmadrid 🤍 y @sefutbol 🇪🇸.Twitter: @danicarvajal92
lorenaamanas	67320	187	True	Soy todo lo que aquí no verás.
lorenagomez_	352755	1056	True	⬇️YA DISPONIBLE⬇️
enzoalvesv	754964	517	True	@realmadrid @groupdoze@adidas*managed by my parents
marcelotwelve	59118157	1948	True	WE ARE @groupdoze@adidas | Athlete @academy12 | Founder
valucervantes	33849	892	False	Mama de Olivia🧸🤍     𝙰𝚛𝚐𝚎𝚗𝚝𝚒𝚗𝚊 🇦🇷📍𝙻𝚒𝚜𝚋𝚘𝚊, 𝙿𝚘𝚛𝚝𝚞𝚐𝚊𝚕🇵🇹
theliveitup	13609	988	False	See you on my Instagram
anagalochaf	6248	1127	False	L&L 👦🏼 👦🏻🐶🧔🏻👩🏻mi Family🤍                         Mi nuevo perfil artístico @anagalocha_colores 🎨
claricealves	667310	1325	True	@aleighthouse                                                          @destaqueimageminfo@claricealves.com
pablitolescanook	1793523	315	True	Contrataciones al whats 1150058381 mail: ventasdsgs@gmail.com
433	52049894	2435	True	The Home of Football 🏠⚽⁣⁣⁣⁣ 👇 433 Podcast 🎙
minimal__architecture_	173997	122	False	Join the family and receive daily minimalist posts ——————————————“ Every good project starts with inspiration “——————————————#minimalarchitecture
josemariagimenez	1020108	439	True	R E S I L I E N C I ANacido el 20 de enero de 1995. Soy de Toledo en Canelones, Uruguay.
vanesabritos	406141	605	True	Cantante 🇺🇾CONTRATACIONES:  @britos_producciones - 095 315 583 Miguel Britos✨Aquí mi canal de YouTube con todas mis canciones 🫶🏻💕
_vanlife_camper	144914	6177	False	Daily vanlife content❤️Dm for any questions/business 💼Ambassador- @buyorsellcampers Find and Sell you camper⬇️
fabreuvale	33104	2100	False	elijo creer, siempre. 🤞🏼Lic. en comunicación 🎙
ricardoarjona	5165023	14	True	Blanco y Negro. Díganme qué hay que hacer… para no hacerlo. 🎫 ⬇️ #BlancoYNegroTour
macarenaolona	158190	659	True	Abogado del Estado.A vuestro servicio 🇪🇸
luanaatiklopes	70770	966	True	health lifestyle | vida saudável ✉️ jobs: contato.luanaatiklopes@gmail.com
clandestinemood	12872	1525	False	◾️ Clandestine Wellness Community (Madrid)▪️CLANDESTINE SPORTY PRIVATE PARTY📍 🇪🇸 #spain 🇺🇸#Miami #NYC
mishelgerzig	604077	579	True	Skipper | Traveler | Israeli ModelItm Models🇮🇱 Next Miami🇺🇸💙 @thibautcourtois Contact: Kayla@itmodels.co.il
_sofiherrera	41216	793	False	
aufoficial	951488	112	True	Cuenta oficial de la 𝗔𝗨𝗙 y la 𝗦𝗲𝗹𝗲𝗰𝗰𝗶𝗼́𝗻 𝗨𝗿𝘂𝗴𝘂𝗮𝘆𝗮 𝗱𝗲 𝗙𝘂́𝘁𝗯𝗼𝗹. #SomosElFútbol #ElEquipoQueNosUne
emmamiestrellita	7632	349	False	La estrella que más brilla, guerrera del corazón ❤️ #Hlhs Cuenta en Honor a nuestra bebé.
ximena_pippo	11165	907	False	
alessandro_pera	40640	2437	True	CEO&Co-founder HAPPING, part of ASER VENTURESCelebrity pr for international fashion brands
chloe_de_launay	18171	40	False	𝕄𝕒𝕕𝕣𝕚𝕕 👧🏼👶🏼❤️
dolcegabbana	29183500	2	True	
gabidnogueira	14039	807	False	lawyer | mom | from Rio | based in Madrid
dr.alejandro.segarra	81550	995	False	Diplomado Internacional de Med Estética📍Barcelona y Madrid.            📞Citas/Info 930107517Clínica: @clinica.alejandro.segarra
daphnecanizares	125844	851	True	Be Good, Do Good. 💫.Mamá de Martín♥️Spanish/Dutch.
inmarodriguezr	74116	1351	True	Periodista deportivo en @movistarplus Pie de campo @laliga 📍Madrid
cristian.gonz	6978	3879	False	Part Of @wasserman @wassermanfootball
abioliivera	48859	466	False	Josué 1:9     👧🏻𝓐𝓲𝓽𝓪𝓷𝓪               🇺🇾
rickyto.sarkany	349	431	False	
shaliimaar	174336	756	True	𝙻𝚘𝚟𝚎 🤍 𝟷. 𝙲𝚘𝚛𝚒𝚗𝚝𝚑𝚒𝚊𝚗𝚜 𝟷𝟹:𝟷𝟹CO-FOUNDER @ohgivi
mcm1989	80429	979	False	🌻
morenabeltran10	1698976	1184	True	Periodista. Conductora y analista.@scespn #ESPNF90 💚🦋embajadora @pumaargentinaagente @rochimain
karolinel	3212232	2744	True	Tenho cara de metida até você assistir meus stories85 981973565 (Priscila) Contato@karolinel.com🇪🇸 | 🇧🇷
carlota_ruiz	123914	1052	True	📍Madrid
ssandragaral	307714	682	True	sandragaral@twic.es
conmebol	1100747	244	True	Fútbol desde 1916.Em português: @conmebolbr #CreeEnGrande
ayudemosaenzo	211	18	False	Hola! Soy Enzo. Sufro epilepsia genética Me ayudas? 🙏🏼♥️Brou caja de ahorro 001416013-00002Colectivo Abitab “Todos por Enzo” 117552
mikinucera	137643	2267	False	Mamá de SIMONE🐥💛@lasnuce🇦🇷BsAsTodas mis cuentas en el link⤵️D.aduana🌐 Community M. 💻Estudiante de periodismo📝𝑭𝒖𝒄𝒌 𝒚𝒐𝒖𝒓 𝒃𝒂𝒅 𝒗𝒊𝒃𝒆𝒔🚫🥊too blessed🪐
agostinascalise	184075	1655	True	Periodista. Lic. en Periodismo (Universidad del Salvador) Conductora @scespn @espnfutbolarg Capricorniana Feliz! 🌹🐚🌻
victorianajda	22537	1351	False	👧🏼Mamá.🌸Periodista Deportivo.🌻Viviendo en la Patagonia.
queens.sleepwear	1917	741	False	Talles reales✨💗Envíos a todo el país🇦🇷💘🚚Efectivo 💵 y mercado pago 💳No vendemos por mayor!⚠️📍Quilmes, Buenos Aires.
camilacavallo	570952	3509	True	Bienvenue dans ma réalité! 💙Con mi abrojito Alma por la vida 👶🏻Santafesina 💞✨Contacto 👉🏻 @talengers.ok
mariapsomerfisio	9038	1124	False	Experta en pelviperineología en @saludfemcrysdyaz by @crysdyaz .
jessica_kroos	187822	463	True	
giraltpablo	384720	2543	True	Periodista. Relator. Conductor de TV y Radio.Twitter: @giraltpablo
karudavidoff	11547	803	False	・ Bien parado o en la lona hay que ser buena persona・👩🏻‍🎓Terapia ocupacional・👩🏻‍🎓Acompañante TerapéuticaViviendo feliz🤍
faustiescuderoo	4998	1043	False	👦🏻👩🏻👶🏻🐶❤️ғᴏʀᴛᴜɴᴇ ғᴀᴠᴏʀs ᴛʜᴇ ʙᴏʟᴅ
angela.lerena	150470	1262	True	Trabajo de ir a la cancha. @tntsportsar y @tv_publica.
riverplate	6519362	133	True	Vivir y jugar con Grandeza. ⚪♥️⚪
silvianistal	27983	4410	False	Feliz de compartir un poquito de mis días ...👨‍👩‍👦‍👦😘 y con cariño: @silvianistaleventplanner
mariaroberts25	83929	2320	True	◻️Especialista en COLOR y EXTENSIONES ◽️ 📍Madrid - Ibiza◽️ @studioveinticinco @studio25_boutique ▫️Ambassador @dyson_es & @schwarzkopfpro.spain
safarimadridoficial	58467	835	True	Bienvenidos a la cuenta oficial de Safari Madrid🐵🦁🐯🐺🦏🐻🐘🐊🐍Pon tus fotos usando nuestro hastag oficial #SafariMadrid
wanda_nara	15405315	1250	True	Mother of 5 🧒🏼🧒🏻🧒🏻👧🏻👧🏼My Brand’s @wandanaracosmetics ✨@wanda.sport @wanda.swim
maitepenio	249242	768	True	since 1991@intrusos @cnnradioargentina
sofiamonachelli	24898	2080	False	Periodista/ConductoraHoy @cronicatv con @chiche_oficialEx @libertadores - @tycsports - @telefe - @carburandotv -RadioTKM📧 monachellisof@gmail.com
marticruzmakeup	23274	2696	False	• | | Makeup Artist | | •
fabianaart20	441	474	False	👨‍👩‍👧‍👧 🐶 🐶🐶⚽️🇺🇾🇪🇸🙏
regi.iafoph	2940	30	False	De Montevideo 🇺🇾 📍📸 Madrid
yandry_nails	3652	2279	False	Servicio de manicura y pedicura.Maderoterapia, Tramientos Faciales y Peluqueria.Descubre nuestra variedad y comienza a ser parte de nosotros. ✨
solfarfaglia	3415	207	False	📍🇬🇷 Greece👶🏼 Ludovico 💍@tomasdevi Gestión y desarrollo de negocios inmobiliarios
ana.pzrz	147	725	False	
anitacaicedoh95	70732	1295	True	ᴀ ɴ ɪ ᴛ ᴀ 🍀 |  🇲🇽🇨🇴  | ✞♡ | 🎙⚽️Periodismo deportivo y humano | conoSERteStadiumtrotter🏟sᴏɴʀɪᴇ
magii.aravena	154789	1392	True	.                🔜 Lisboa                  🔜 Madrid  #magiiaravena
marcelampagano	123250	1427	True	Periodista. En Twitter @PaganoMarcela .No hay segundas oportunidades para una primera impresión...
yerikaardila	14142	696	False	Chiquita pero grandotaBarcelona📍
labarberiadeoliva	9365	372	False	🌏SERVICIOS VIP POR TODO EL MUNDO (md)📍C/ Galicia 30,Fuenlabrada📍C/ Madrid 43,Humanes 📍C/Federico de la Torre 7,VillaviciosaCITAS APP “latijera”
sportsmoments_es	1180	36	False	Welcome to the channel of the best sports momentsBienvenidos al canal de los mejores momentos deportivos
agus.gandolfo	982010	526	True	🙋🏼‍♀️ Mamá y emprendedora 🌱Fitness & Healthy Lifestyle Owner @coraje.milano
regi_iafolla	21855	416	False	Mama de Lauti y Lucho 💘Mdeo📍Madrid                                                                                    regina@mcvagency.com
beatrizespejel	149690	1120	True	.Lifestyle .Tik Tok : @beatrizespejel   Director & Founder @internationalacademies
elenafv_pediatra	3814	610	False	Pediatra de vocación ,trabajo en @bmummadrid    #niñosfelices #pediatra #historiasdepadresehijos #niñossanos
belindabuscemi	1043	1674	False	Mami de 3.  2 en la tierra y 1 en el cielo ✨️
buscemibeauty	6153	2453	False	𝐁𝐔𝐒𝐂𝐄𝐌𝐈 ✨ Estética y belleza  cita☎️ 911152344 | 📱616147457📍Calle Ginzo de Limia, 26  28029
paligoycochea	15627	2271	False	Founder @hcruz.momskids
flortommasiello	11270	585	False	•@biofitmza • 💙💛💙
agufantasia	86260	526	True	📺 🎤⚽️ @tycsports
flormartinez13	22401	2745	False	
albapadibclc	176638	1709	True	IBCLC, Cofundadora de @lactapp_lactancia. Toda la info 👇👇👇👇👇
dra.carlaorsinipediatra	357492	1018	False	Madre de 5 💜Médica pediatra 🇦🇷 Acompaño infancias y cuidadores#lapediatradelosmemesHago talleres  📚 100¿? y respuestas sobre crianza respetuosa
patridiazz21	150	567	False	
annamarianacasemiro	315174	511	True	🇧🇷🇪🇸🇬🇧👨‍👩‍👧‍👦 ❤️‍🔥@casemiro 💜Sara 💚Caio🎓business
johaherbel	58721	909	True	Vicenta’s mum - SP 💍.                                                                                       🇦🇷 in Athens, Greece 🇬🇷🧿
letirodriguezp	16901	828	False	Mamá de Thiago y Daniela👨‍👩‍👧‍👦.                                       Siempre contigo @vitolomperez20.
sabridimarzo	38886	175	False	Mamá de Lola y Luz 👧🏼👶🏻
macacapilla89	206411	2229	True	Licenciada Ciencias de la Actividad Física y del Deporte Diplomada Magisterio Ed.Física
aguscilano	6123	637	False	Mamá de @silvestrechatruc
juancarlosartelino	1612	637	False	De A. Ledesma (Cba) al mundo.Periodista/Relator@24noticias @bocaesbocaoficial@tv_publica #FederalA @argentinisimatv @tangoygoles_ok@lc1am540
matipelliccioni	106188	999	True	🇦🇷🇦🇷🇦🇷live if you want to live 🌎🏝🛫✌TyC Sports 📺🎙@pasoapaso_tycsports 🎦@libero_tycsports 🆚#23 👊#EnamoradoEstoy 🎬🔥🇮🇹 @hovisto_SIEMPRE AL 10 🙌🔟🇦🇷💙
sarasalamo	886706	1237	True	Actriz canaria.Representante: @a6cinema
nogueirafoto	278626	545	True	NogueiraFoto ©
realmadrid	126140853	46	True	⚽️ Official profile of Real Madrid C.F.🏆 14 times European Champions🌍 FIFA Best Club of the 20th Century📱 #RealFootball | 🤍 #MADRIDISTAS
fiestapartykarinjimenez	43724	85	False	❥ Decoración de Globos❥ Diseño Fiesta❥ Organizador de eventos By @karinjimenez91 Decoramos en toda España 💌 Escríbenos y cotiza tu celebración 🎉
karinjimenez91	756230	2858	True	Mamá 👶🏼👶🏼👶🏼, esposa y creadora de  @fiestapartykarinjimenez @maternitybykarinjimenez 💌 contacto@karinjimenez.com 📍Colombia 🇨🇴 España
solcitorivas	629540	591	True	Cholita carnavalera🎉💙💛💙⚖️ Abogada UNC🇦🇷Tiktok: solcitorivas10Twitch: solrivas
dra.carlaiacono	9626	833	False	💫Tratamientos estéticos faciales 💫 Ginecologia | Ginecologia Cosmetica ✨Botox👄Fillers✨Profhilo✨Radiesse|PRP📍  @dras.coiro_iacono & @belladerm.ar
micafusca	123679	596	True	🇦🇷 Velez Sarsfield 💙
francefootball	1894441	162	True	Follow all the latest news about #ballondor, the #tropheekopa and the #tropheeyachine ⚽️
juli_redondo_8	1026	2601	False	👩🏽👶🏽🧑🏽🐶❤️
metroadelantadook	294231	622	False	La comunidad de fútbol más grande de Argentina.🧠 @roquecolombo / @capochazo / @matedecoco📩 info@unmetroadelantado.comCompra el FIFA23 acá: 👇🏻
barberjos	3638	828	False	📍 Madrid 💈 Bejota Barber’s   ✈️  Viaja hasta que encuentres tu destino
libertadoresbr	1276212	165	True	CONMEBOL Libertadores, o torneio de futebol de maior prestígio na América do Sul.👉🇪🇸 @libertadores 👉🇬🇧 @thelibertadores 👉🇸🇦 @libertadoresarabic
fanatiztv	17419	1063	True	We live passion 🥺🏟📺
paloma.calderon.ep	6840	1853	False	👩🏽‍🎓Ciencias del deporte | Master en EP y Readaptación deportiva🤰🏽🏋🏽‍♀️Especialista en Embarazo y Postparto 📍Madrid-@crysdyazMamá de Enzo ❤️
crysdyaz	280686	2476	True	CEO @crysdyazandco & @saludfemcrysdyaz Ex deportista de élite.Entrena online con nosotros en @class.land ⬇️⬇️⬇️⬇️⬇️⬇️⬇️
peckymuschietti	10875	966	False	Periodista Guionista ProductoraUna Esposa del Fútbol con historias para contar🤳🏼junto a @untrefmedia ❤️También soy Maria Silvani 🙋🏻‍♀️
lucianajarqee	563	309	False	
saruugarcia_19	108393	2561	False	🇺🇾 Saruugarcia@gmail.com 📩•Mi marca 🏄🏼‍♀️🛹 @zaragoza_zg•Embajadora @monsterenergy
melaniemoreirar	1603	365	False	Melanie ♥️
sofibalbi	1727571	485	True	D💖B💙L💙📩 sofia@luso.com.uy
noeluzardoo	17935	390	False	📍ValenciaMami de Cata 👶🏻🎀🐶🐶
btsport	2942344	136	True	At the heart of sportFor UFC highlights follow @ufcbtsportFor Boxing content follow @btsportboxing For RAW, SmackDown and NXT follow @btsportwwe
sindytorradeflo	29315	707	False	Mom of two princess 👸 🇲🇽🇺🇾                                    ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
sasiita_sa	12265	965	False	📍𝖡𝗎𝖾𝗇𝗈𝗌 𝖠𝗂𝗋𝖾𝗌, 𝖠𝗋𝗀𝖾𝗇𝗍𝗂𝗇𝖺 🌎@rrpp_carp Sɪᴇᴍᴘʀᴇ Rɪᴠᴇʀ ♡
championsleague	99025449	433	True	The official home of the #UCL on Instagram 🙌👇  HIT THE LINK! 👇
laliga	43625123	893	True	⚽️ #LaLigaSantander & #LaLigaSmartBank ⚽️
espnfutbolarg	1473847	841	True	#LeoMessi En Primera Persona: una charla exclusiva con el Pollo Vignolo, disponible ahora en #StarPlusLA 👇🏻👇🏻
silmazzolla	3377	1631	False	Maquilladora y caracterizadora @eltrecetv @todonoticias @quieromusicatv @ciudad_magazine🖌️🎨🌟🌈 Vas a brillar
thebeautyconcept	33147	637	False	Centros de belleza integral. Expertos en diagnóstico personalizado de piel y cabello. Medicina estética.Spa Ritz📞 914 669 187📲 Tienda online📍Madrid
clinicabruselas	56531	421	False	Líderes en Medicina y Cirugía Estética.💫La Clínica de las Celebrities💫☎️ 91 726 43 52Visita nuestro blog👇🏼
itismepaz	844	937	False	Marroquinería a pedido y a consciencia/ atemporalEnvíos a todo el país 📫#itismepaz
elkaiseroriginal	1025965	2492	False	ᴄᴏᴍᴜɴɪᴅᴀᴅ ᴅᴇ ᴇɴᴛʀᴇᴛᴇɴɪᴍɪᴇɴᴛᴏ ʏ ᴅᴇᴘᴏʀᴛᴇ 🇦🇷ᴄᴍ - @fede_elkaiser
forzafootballapp	9650	753	False	Making the world of football a better place, and available for everyone.   👇 Download our app
helenacondis	116837	1733	True	🙋‍♀⚽ Periodista deportiva🎙@tiempodejuegocope @partidazocope ✈  Viajando con el #Barça🌏 🖥 @esport3 @goltv ✉ Helena.condis@youfirstsports.com
goltv	65598	13	True	Esto es fútbol.
maxi.insua	1529	1091	False	Living in Madrid 🇪🇸 CEO @insuagroup ⚽️💼Intermediario registrado en la AFA @afa.oficial Contador Público de la UBA - Cum Laude @uba_ar
bolavipcom	118482	184	True	El fútbol no descansa, la pasión tampoco. No te pierdas nada. Somos Latinoamérica. 🇦🇷 🇧🇷 🇵🇪 🇺🇾 🇧🇴 🇨🇱 🇨🇴 🇻🇪 🇨🇷 🇪🇨 🇵🇾 🇸🇻 🇬🇹 🇭🇳
team.minabonino	961	163	False	🌿| 𝑯𝒐𝒍𝒂•🕊️|𝑷𝒂́𝒈𝒊𝒏𝒂 𝒅𝒆 𝒇𝒂𝒏𝒔•🌿|𝕡𝕣𝕚𝕟𝕔𝕖𝕤𝕒 👉🏻@minabonino 💚⚡𝙁𝙖𝙙𝙚👩‍❤️‍👨 // 𝘽𝙚𝙣𝙞𝙘𝙞𝙤🤱 ⚡
fedevalverde	7054014	153	True	Futbolista profesional del@realmadrid y @aufoficial👟 @nikefootball
tntsportsar	1503774	464	True	Todo el fútbol de la Liga Profesional y el deporte argentino e internacional en un solo lugar ⚽️
libertadores	4950332	116	True	La CONMEBOL Libertadores, el torneo de fútbol más prestigioso de Sudamérica.🇧🇷👉 @libertadoresbr🇬🇧👉 @thelibertadores🇸🇦👉 @libertadoresarabic
jugadasuperliga	14219	451	False	Trivia oficial de la SuperLiga Argentina ⚽#TRIVIAENVIVO Vuelven las trivias en vivo por grandes premios!
fulbo_fulbo	71323	83	False	Último video de Youtube 👇🏼. |
sebastianpollovignolo	835634	542	True	Periodista, relator y conductor #ESPNF90 #equipof @espnfutbolarg @espnargentina @pasionporelfutboloficial @eltrecetv Contacto: agamboa@condimo.com
tomi.davila	36053	986	False	-👨🏻‍🎓 Licenciado en Comunicación Social -🎙📺 @racingclub en #ESPN-📍 Buenos Aires, Argentina 🇦🇷
nico_raffo	134080	1088	False	💰Inversor de Forex y Crypto‼𝗜𝗺𝗽𝗮𝗰𝘁𝗮𝗻𝗱𝗼 𝘃𝗶𝗱𝗮𝘀⚽️ RiverPlate 🔥Influencer#NicoRaffo
floppyseijas	809	991	False	No hay atajo hacia las estrellas!⭐️
elalesicumbiaok	360423	386	False	Conseguite un empleo honesto.✉️ elalesicumbiatwitter@hotmail.com
chapabidegain	823	2149	False	
marcesim	3731	4781	False	🐶🐱👉🏻@soplodevida_   ⚽️⚽️👉🏻@dodici_sm
matibaretta	1544	1738	False	Director Comercial de la FEF 🇪🇨. Ex Gerente de Marca de @riverplate. Padre de Roma. Licenciado. ⚽️
danimazzaok	2022	1308	False	Gerente de Relaciones Publicas  y Prensa Club Atlético River Plate
guillermocoriaok	119337	4259	True	Co-Founder de @newpampasgg 🔥🦊 | Ex Tenista Profesional |  Capitán de la Selección Argentina de tenis 🎾 🇦🇷
bikimazza	3746	630	False	• @espnfutbolarg •
elpibegrillo	18540	738	False	• River en @tntsportsar🎙• Twitter: @maxigrillo 🐦• #lamañanadeRiver ⚪🔴⚪• Fanático de los quesos 🧀
nacho_bezruk	14013	397	False	🟡🔵 Boca @tntsportsar @cnnradioargentina
wqueijeiro	180789	536	True	Periodista 🇦🇷 Journalisthttps://www.tiktok.com/@wqueijeiro?_t=8VPlWs0Zyxa&_r=1
movelectrofitness	638	666	False	📰 Estimulación Eléctrica Muscular🏅 Somos el entrenamiento del futuro⚡️ #electrofitnessℹ #quilmes   👊 #salud👉 |RESERVÁ clase de prueba GRATIS|
dieleuco	503998	1486	True	Conductor. Periodista @telenoche @radiomitre @antesquenadie__
diegonavarropr	7912	7162	False	Del lado bueno.
juezcentral	433627	311	False	Anécdotas y datos curiosos del fútbol mundial. Twitter: @Juezcentral Contacto: juezcentral@hotmail.com
morandolucas	25955	2323	False	🎩 Ex mago, hoy periodista.💡 Hablo sobre política 🎙 Estoy en @rivadavia630 📺 Y en @lanacionmas
pasionmillonariaoficial	493239	185	False	Cuenta del más grande ⚪️🔴Admin: @federubi Publicidad al MD
miguelgane	388350	976	True	En persona soy más guapo. 📖: Mi último libro: #OjosDeSol 💛: A LA VENTA 👇🏼
afaseleccion	7547737	79	True	Cuenta oficial de la Selección Argentina de fútbol.Campeones de América 2021 🏆🇦🇷
ligaprofesionalafa	1476597	47	True	Instagram oficial de la Liga Profesional de Fútbol de la AFA
afa.oficial	628938	10	True	Seguinos en www.twitter.com/AFA y en www.facebook.com/AFAOficial
offsideig	83894	7422	False	𝗥𝗘𝗦𝗣𝗜𝗥𝗔𝗠𝗢𝗦 𝗙Ú𝗧𝗕𝗢𝗟 𝗗𝗘𝗦𝗗𝗘 𝟮𝟬𝟭𝟳Twitter: @offsideig🚨 𝗢𝗙𝗙𝗦𝗜𝗗𝗘 𝗧𝗩 𝗘𝗡 𝗬𝗢𝗨𝗧𝗨𝗕𝗘 😉
tessaroloenrico	5273	1812	False	#emprendedor
humodeprimeraoriginal	817000	2882	False	La muerte está al alcance de cualquiera, la Copa Libertadores no.
marnicolett	17787	1729	False	📍🇪🇸 Mom 🐥 🐥 📚Futura licenciada 🤓.
mudmakeupdesign	30196	733	False	✨ Creamos belleza💄 Studio y Academia de makeup y beauty services💋 MUD Cosmetics - Cruelty Free🐰📍 Brown 503, Quilmes📍 Palermo Hollywood🗓 TURNOS ⬇️
belladerm.ar	13354	1606	False	📍Bella Derm #Bernal & #Quilmes💅🏻 @bellanailsandlashes 🛍 Conoce nuestra Tienda Online 👇🏻
maritobaracus	1873406	1168	True	📧 Maritobaracus@gmail.com Entradas para Chupa Pig 👇🏾
planetagoltyc	449168	96	True	Lunes a viernes a las 15:30 por @tycsports con la conducción de @pablogonzalezsoy y @lavecchiafer. Única cuenta oficial del programa.
diario.ole	2148740	1047	True	Compartimos la pasión
leanilliaok	19884	528	False	📺 Periodista Deportivo en @ip_noticias @nacionalam870 🎙@relatoresconvos.
belulanosa	16181	2328	False	Prodυcer - Fαѕнιoɴ Sтylιѕт ✨Producción en @grupomassar
marianapaz.makeup	5049	1810	False	Novias• Sociales• Moda & Editorial•cine&Tv• cosmetologia •Shop online 🚛 envíos a todo el país @pazmetics Consultaspazmakeup@gmail
laureborahair	3355	2223	False	Peinadora 💇‍♀️Maquilladora💄 En Artear @eltrecetv @todonoticias @ciudad_magazine @quieromusicatv y @storylabarg @tumusicahoy
fernandezcoco10	66933	1841	True	Senior media & entertainment executive Programming and acquisition - digital strategy content - Sports & lifestyle lover 📺 🏃🏽‍♂️😎
agustinneglia	323854	2559	True	Modo Selfie 🤳🏻 domingos 23.59hs Modo Foodie 🥘 sábados 00.30hs por America✉️: agustin@buena-estrella.com.ar
nachogoano	11726	215	False	Conductor radio y tv @canaldelaciudad #HoyNosToca @cronicatv #LaTardedeCronica @lc1am540 #NachoLibre
pampitook	93271	1431	True	Periodista📺 Mañanisima - Ciudad Magazine📺 Momento D - El Trece📻 Soy Tan Biutiful - Pop Radio 101.5 📱 Ciudad - Ciudad.com
